from,to,width
Australia,Scotland,2
Belgium,England,4
Belgium,Germany,2
Belgium,Netherlands,4
Belgium,Norway,2
Canada,England,2
Canada,France,2
Canada,Spain,2
Denmark,England,2
Denmark,Finland,3
Denmark,France,2
Denmark,NY 14853 USA,2
Denmark,Netherlands,2
Denmark,Russia,2
Denmark,Sweden,2
England,Germany,2
England,Italy,3
England,Netherlands,4
England,Norway,2
England,Peoples R China,2
England,Spain,3
Finland,France,2
Finland,Italy,2
Finland,NY 14853 USA,2
Finland,Russia,2
Finland,Sweden,3
France,Russia,3
France,Sweden,2
France,Switzerland,2
Germany,Netherlands,2
Germany,Russia,2
Germany,Switzerland,2
IN 47306 USA,Sweden,2
Italy,Netherlands,2
Italy,Spain,2
NY 14853 USA,Russia,2
NY 14853 USA,Sweden,2
Russia,Sweden,2
